,Day,Month,Year,Rented.Bike.Count,Hour,TemperatureC,Humidity,Wind.speed.ms,Visibility.10m,Dew.point.temperature.C,Solar.Radiation..MJ.m2.,Rainfallmm,Snowfall.cm,Seasons,Holiday
4044,18,5,2018,352,11,16.6,96,0.7,539,15.9,0.41,0,0,Spring,No Holiday
1678,8,2,2018,268,21,-3.3,42,1.1,1596,-14.4,0,0,0,Winter,No Holiday
7985,29,10,2018,1069,16,11.3,41,3.6,2000,-1.4,0.94,0,0,Autumn,No Holiday
5979,7,8,2018,443,2,27.9,68,0.9,2000,21.4,0,0,0,Summer,No Holiday
1189,19,1,2018,341,12,4.3,28,1.5,1858,-12.6,0.98,0,0,Winter,No Holiday
5389,13,7,2018,1013,12,28.3,68,1.9,1546,21.8,1.35,0,0,Summer,No Holiday
5348,11,7,2018,2328,19,28.2,72,1.6,1745,22.6,0.13,0,0,Summer,No Holiday
2088,25,2,2018,173,23,-0.3,58,1,1945,-7.5,0,0,0,Winter,No Holiday
878,6,1,2018,356,13,0.9,28,2.4,1895,-15.6,1.18,0,0,Winter,No Holiday
2628,20,3,2018,488,11,8.4,34,3.6,1966,-6.5,2.36,0,0,Spring,No Holiday
796,3,1,2018,67,3,-6.1,45,1.3,1999,-16.1,0,0,0,Winter,No Holiday
4934,24,6,2018,1062,13,30.6,31,2.7,1240,11.5,3.24,0,0,Summer,No Holiday
8325,12,11,2018,1292,20,9,48,1.9,1879,-1.4,0,0,0,Autumn,No Holiday
3545,27,4,2018,1446,16,23.2,33,2.4,869,6,2.12,0,0,Spring,No Holiday
7358,3,10,2018,1849,13,22.5,40,2.6,1854,8.2,2.64,0,0,Autumn,Holiday
6791,9,9,2018,1291,22,21.8,54,1.6,2000,12,0,0,0,Autumn,No Holiday
4299,29,5,2018,466,2,20.2,56,2.3,1498,0,0,0,0,Spring,No Holiday
1369,27,1,2018,80,0,-15,42,1.2,1766,-25,0,0,0.3,Winter,No Holiday
1978,21,2,2018,373,9,-3.8,28,1.7,1904,-19.6,0.63,0,0,Winter,No Holiday
7151,24,9,2018,958,22,16.6,47,3.9,2000,5.2,0,0,0,Autumn,Holiday
16,1,12,2017,463,15,2.1,36,3.2,2000,-11.4,0.54,0,0,Winter,No Holiday
3431,22,4,2018,13,22,11.6,89,2,469,9.8,0,4,0,Spring,No Holiday
2700,23,3,2018,584,11,7.1,50,1.7,799,-2.6,2.24,0,0,Spring,No Holiday
3764,6,5,2018,1639,19,19,70,0.7,2000,13.3,0.33,0,0,Spring,No Holiday
6380,23,8,2018,582,19,30,59,2.2,1970,21.1,0.01,0,0,Summer,No Holiday
2779,26,3,2018,1477,18,16,33,2.9,1138,-0.2,0.6,0,0,Spring,No Holiday
4696,14,6,2018,1292,15,24.6,57,1.8,1664,15.5,1.54,0,0,Summer,No Holiday
3304,17,4,2018,1120,15,19.9,26,3.5,1628,-0.1,2.8,0,0,Spring,No Holiday
1018,12,1,2018,196,9,-14.9,40,1.2,1999,-25.5,0.16,0,0,Winter,No Holiday
469,20,12,2017,209,12,-3.2,49,1.3,1723,-12.4,0.53,0,1.9,Winter,No Holiday
4248,26,5,2018,1330,23,20.7,63,0.8,1130,13.3,0,0,0,Spring,No Holiday
5117,2,7,2018,58,4,20.8,97,1,2000,20.3,0,4,0,Summer,No Holiday
2546,17,3,2018,366,1,3,52,0.7,2000,-5.9,0,0,0,Spring,No Holiday
1061,14,1,2018,48,4,-4,79,1.2,453,-7.1,0,0,0,Winter,No Holiday
285,12,12,2017,260,20,-8.4,42,1,2000,-19,0,0,0,Winter,No Holiday
2734,24,3,2018,487,21,6.7,84,2.8,193,4.1,0,0,0,Spring,No Holiday
1133,17,1,2018,55,4,3,68,0.5,322,-2.3,0,0,0,Winter,No Holiday
7117,23,9,2018,915,12,20.8,52,1.2,1984,10.5,1.25,0,0,Autumn,Holiday
8159,5,11,2018,1215,22,11.6,81,1.2,336,8.4,0,0,0,Autumn,No Holiday
6367,23,8,2018,492,6,28.3,55,1.5,2000,18.3,0,0,0,Summer,No Holiday
345,15,12,2017,658,8,-6.6,64,1.1,791,-12.2,0,0,0,Winter,No Holiday
7141,24,9,2018,754,12,20.3,34,2.6,2000,3.9,2.85,0,0,Autumn,Holiday
5190,5,7,2018,326,5,23.5,80,0.3,838,19.8,0,0,0,Summer,No Holiday
8418,16,11,2018,1346,17,11,70,2.9,617,5.7,0.12,0,0,Autumn,No Holiday
472,20,12,2017,240,15,-0.2,45,1,1852,-10.7,0.41,0,1.6,Winter,No Holiday
7936,27,10,2018,1254,15,11.4,32,3.8,2000,-4.7,1.21,0,0,Autumn,No Holiday
5155,3,7,2018,2965,18,32.2,57,1.8,1880,22.5,1.53,0,0,Summer,No Holiday
3869,11,5,2018,154,4,11.9,85,0.7,315,9.4,0,0,0,Spring,No Holiday
3177,12,4,2018,1789,8,8.9,48,1.1,1444,-1.5,0.69,0,0,Spring,No Holiday
1309,24,1,2018,121,12,-12.2,26,4,2000,-27.8,1.17,0,0.9,Winter,No Holiday
8199,7,11,2018,767,14,15.5,68,1.4,693,9.6,1.15,0,0,Autumn,No Holiday
2891,31,3,2018,618,10,14.7,53,0.9,831,5.2,1.59,0,0,Spring,No Holiday
7561,12,10,2018,706,0,8.2,61,1.3,2000,1.1,0,0,0,Autumn,No Holiday
2945,2,4,2018,1218,16,23,47,4.1,1417,11,2,0,0,Spring,No Holiday
8219,8,11,2018,17,10,10.8,94,1.8,578,9.8,0.15,0,0,Autumn,No Holiday
2384,10,3,2018,208,7,0.9,78,1.1,535,-2.5,0,0,0,Spring,No Holiday
4396,2,6,2018,475,3,18.9,63,1.5,1007,11.6,0,0,0,Summer,No Holiday
2107,26,2,2018,929,18,7.2,26,2.3,1398,-11,0.33,0,0,Winter,No Holiday
3986,16,5,2018,502,1,24.1,67,0.5,686,17.5,0,0,0,Spring,No Holiday
2502,15,3,2018,8,5,14.5,94,2,487,13.5,0,0,0,Spring,No Holiday
2093,26,2,2018,46,4,-2.3,69,1.1,1411,-7.2,0,0,0,Winter,No Holiday
3320,18,4,2018,1083,7,6.4,51,1,1398,-3,0.19,0,0,Spring,No Holiday
6144,13,8,2018,1086,23,29.6,63,0.1,2000,21.8,0,0,0,Summer,No Holiday
3107,9,4,2018,506,10,5.2,73,1,668,0.7,2.08,0,0,Spring,No Holiday
4128,21,5,2018,1273,23,16.3,70,0.7,1293,10.8,0,0,0,Spring,No Holiday
7883,25,10,2018,779,10,13.4,53,1.1,1768,4,1.53,0,0,Autumn,No Holiday
787,2,1,2018,675,18,-0.8,24,2.3,2000,-18.9,0.01,0,0,Winter,No Holiday
4850,21,6,2018,794,1,20.1,82,1.2,582,16.9,0,0,0,Summer,No Holiday
2306,7,3,2018,194,1,2.8,46,2,1709,-7.6,0,0,0,Spring,No Holiday
8632,25,11,2018,846,15,9.5,54,1.3,675,0.6,0.76,0,1.1,Autumn,No Holiday
583,25,12,2017,59,6,-4.1,50,3,2000,-13,0,0,0,Winter,Holiday
8328,12,11,2018,702,23,6.9,60,0.8,1610,-0.3,0,0,0,Autumn,No Holiday
3370,20,4,2018,962,9,15.8,42,0.9,683,2.8,1.37,0,0,Spring,No Holiday
4006,16,5,2018,398,21,21.8,97,1.3,160,21.2,0,0.5,0,Spring,No Holiday
7127,23,9,2018,1074,22,18.5,40,2.5,2000,4.6,0,0,0,Autumn,Holiday
2388,10,3,2018,497,11,5.7,58,2.3,700,-1.9,2.08,0,0,Spring,No Holiday
2559,17,3,2018,1294,14,12.1,29,2.3,1734,-5.4,2.26,0,0,Spring,No Holiday
884,6,1,2018,207,19,-1.2,37,1.2,1663,-14,0,0,0,Winter,No Holiday
3660,2,5,2018,206,11,18,85,1.1,411,15.4,0.45,0,0,Spring,No Holiday
5014,27,6,2018,2200,21,23.3,71,1.3,1145,17.7,0,0,0,Summer,No Holiday
8450,18,11,2018,443,1,3.2,54,1.2,1968,-5.2,0,0,0,Autumn,No Holiday
2167,1,3,2018,33,6,3,96,2.7,303,2.4,0,0.4,0,Spring,Holiday
716,30,12,2017,40,19,2.3,89,0.6,96,0.6,0,0,0,Winter,No Holiday
5143,3,7,2018,600,6,22.6,95,0.1,1937,21.7,0.05,0,0,Summer,No Holiday
5744,28,7,2018,428,7,28.4,82,0.7,748,25,0.16,0,0,Summer,No Holiday
8204,7,11,2018,1176,19,13.8,81,1.5,760,10.5,0,0,0,Autumn,No Holiday
5352,11,7,2018,1298,23,26.9,79,0.1,1541,22.9,0,0,0,Summer,No Holiday
4145,22,5,2018,86,16,19.5,80,1.2,553,15.9,0.53,0.4,0,Spring,Holiday
5061,29,6,2018,2339,20,26.2,70,1.5,792,20.2,0.12,0,0,Summer,No Holiday
4242,26,5,2018,1886,17,27.9,34,3.8,1259,10.5,1.73,0,0,Spring,No Holiday
2420,11,3,2018,596,19,7.8,28,1.9,1982,-9.6,0.04,0,0,Spring,No Holiday
613,26,12,2017,262,12,-1.3,23,4,2000,-19.8,1.09,0,0,Winter,No Holiday
4404,2,6,2018,1094,11,27.3,35,2.3,1537,10.4,2.98,0,0,Summer,No Holiday
1734,11,2,2018,19,5,-7.8,39,2.8,2000,-19.3,0,0,0,Winter,No Holiday
8221,8,11,2018,17,12,11.4,95,2.5,792,10.6,0.44,5.5,0,Autumn,No Holiday
2142,28,2,2018,62,5,5.2,59,1.7,437,-2.1,0,0,0,Winter,No Holiday
5877,2,8,2018,1480,20,33.9,58,2.4,1519,24.4,0.04,0,0,Summer,No Holiday
1637,7,2,2018,34,4,-13.1,54,0.7,1369,-20.4,0,0,0,Winter,No Holiday
4548,8,6,2018,1095,11,21.9,64,2.4,1359,14.7,1.03,0,0,Summer,No Holiday
3308,17,4,2018,1356,19,14.5,31,3.1,1558,-2.4,0.25,0,0,Spring,No Holiday
504,21,12,2017,212,23,-1.5,79,0.6,821,-4.6,0,0,0.8,Winter,No Holiday
3658,2,5,2018,609,9,17.4,94,0.7,230,16.4,0.16,0,0,Spring,No Holiday
2265,5,3,2018,184,8,3.6,88,2.3,2000,1.7,0.03,0,0,Spring,No Holiday
8489,19,11,2018,968,16,9.7,43,2.7,1012,-2.2,0.37,0,0,Autumn,No Holiday
3109,9,4,2018,799,12,10.4,44,1.7,1235,-1.3,2.93,0,0,Spring,No Holiday
3244,15,4,2018,183,3,6.4,83,2.3,1158,3.7,0,0,0,Spring,No Holiday
7857,24,10,2018,2108,8,8.1,85,1.2,772,5.7,0.26,0,0,Autumn,No Holiday
1132,17,1,2018,75,3,3,67,0.8,297,-2.5,0,0,0,Winter,No Holiday
8426,17,11,2018,597,1,3.4,76,0.5,909,-0.4,0,0,0,Autumn,No Holiday
2481,14,3,2018,1371,8,14.2,67,0.9,1812,8.1,0.06,0,0,Spring,No Holiday
6226,17,8,2018,1069,9,25.5,40,2.6,1990,10.8,1.7,0,0,Summer,No Holiday
3006,5,4,2018,18,5,8.3,81,2,1060,5.2,0,0.1,0,Spring,No Holiday
2245,4,3,2018,358,12,10.7,85,0.9,393,8.2,0.52,0,0,Spring,No Holiday
6689,5,9,2018,1446,16,28.2,37,4,1987,12.1,2.03,0,0,Autumn,No Holiday
3449,23,4,2018,41,16,9.6,96,1.7,1409,8.9,0.23,1,0,Spring,No Holiday
6244,18,8,2018,483,3,23,54,1,1818,13.1,0,0,0,Summer,No Holiday
3384,20,4,2018,891,23,17.3,57,0.6,807,8.6,0,0,0,Spring,No Holiday
6002,8,8,2018,700,1,28.5,80,1.5,1306,24.7,0,0,0,Summer,No Holiday
4567,9,6,2018,381,6,19,84,0.5,440,16.2,0.05,0,0,Summer,No Holiday
4170,23,5,2018,2069,17,22.4,39,3.2,1943,7.7,1.9,0,0,Spring,No Holiday
6890,14,9,2018,775,1,21.6,75,1.1,1671,16.9,0,0,0,Autumn,No Holiday
4828,20,6,2018,340,3,19.4,79,0.8,563,15.6,0,0,0,Summer,No Holiday
3598,29,4,2018,1382,21,16.1,44,1.2,913,3.8,0,0,0,Spring,No Holiday
310,13,12,2017,271,21,-8.3,39,1,2000,-19.8,0,0,0,Winter,No Holiday
5912,4,8,2018,405,7,29.4,62,1.9,1758,21.3,0.24,0,0,Summer,No Holiday
5928,4,8,2018,1155,23,28.2,78,2.5,1678,23.9,0,0,0,Summer,No Holiday
143,6,12,2017,222,22,1.3,92,0.6,233,0.1,0,0,1,Winter,No Holiday
2786,27,3,2018,278,1,8.7,70,0.9,398,3.5,0,0,0,Spring,No Holiday
6398,24,8,2018,274,13,25.8,78,2.8,2000,21.6,0.95,0,0,Summer,No Holiday
7353,3,10,2018,762,8,11.8,73,1,1649,7.1,0.49,0,0,Autumn,Holiday
4441,4,6,2018,938,0,21.4,45,1.4,1964,8.9,0,0,0,Summer,No Holiday
5631,23,7,2018,670,14,34.3,45,2.2,1967,20.6,1.64,0,0,Summer,No Holiday
398,17,12,2017,223,13,-4.5,25,3.2,1989,-21.6,1.14,0,0,Winter,No Holiday
1052,13,1,2018,167,19,-3.3,76,0.8,633,-6.9,0,0,0,Winter,No Holiday
1573,4,2,2018,165,12,-8.3,32,1.8,1295,-22.1,1.99,0,0,Winter,No Holiday
61,3,12,2017,333,12,5.8,85,1.7,349,3.4,0.43,0,0,Winter,No Holiday
6724,7,9,2018,259,3,21.1,75,1.8,1551,16.4,0,0,0,Autumn,No Holiday
7307,1,10,2018,856,10,16.3,47,3.6,1815,4.9,1.93,0,0,Autumn,No Holiday
2933,2,4,2018,86,4,15.7,79,1.2,628,12,0,0,0,Spring,No Holiday
3047,6,4,2018,499,22,3.9,68,3,737,-1.4,0,0,0,Spring,No Holiday
3170,12,4,2018,374,1,8.9,40,2.1,2000,-3.9,0,0,0,Spring,No Holiday
8756,30,11,2018,1003,19,4.2,34,2.6,1894,-10.3,0,0,0,Autumn,No Holiday
578,25,12,2017,132,1,-1.2,57,4.3,1429,-8.6,0,0,0,Winter,Holiday
860,5,1,2018,443,19,-2.5,49,0.6,1436,-11.7,0,0,0,Winter,No Holiday
1807,14,2,2018,108,6,1.1,66,0.9,1550,-4.5,0,0,0,Winter,No Holiday
4169,23,5,2018,1563,16,23,33,4.2,1880,5.8,2.57,0,0,Spring,No Holiday
5982,7,8,2018,273,5,27.1,69,0.9,2000,20.9,0,0,0,Summer,No Holiday
5825,31,7,2018,763,16,37,38,1.2,2000,20.3,2.07,0,0,Summer,No Holiday
5790,30,7,2018,273,5,26.4,62,0.6,2000,18.5,0,0,0,Summer,No Holiday
4719,15,6,2018,1027,14,26.4,43,2.1,1944,12.8,3.23,0,0,Summer,No Holiday
3206,13,4,2018,973,13,19,15,1.4,2000,-8.2,2.02,0,0,Spring,No Holiday
6656,4,9,2018,1289,7,20.1,97,1.9,443,19.6,0.03,0,0,Autumn,No Holiday
8696,28,11,2018,796,7,2.5,24,0.2,1306,-16,0,0,0,Autumn,No Holiday
6320,21,8,2018,608,7,23.4,94,2.4,1773,22.3,0.02,2,0,Summer,No Holiday
2313,7,3,2018,1032,8,2.6,63,1.6,1857,-3.7,0.14,0,0,Spring,No Holiday
6805,10,9,2018,1095,12,26.7,40,1.4,2000,11.9,2.92,0,0,Autumn,No Holiday
3306,17,4,2018,1632,17,18.3,29,4.3,1626,0,1.61,0,0,Spring,No Holiday
4636,12,6,2018,206,3,17.5,87,0.5,1995,15.3,0,0,0,Summer,No Holiday
1815,14,2,2018,398,14,7.8,57,3.5,675,-0.2,1.34,0,0,Winter,No Holiday
7767,20,10,2018,1649,14,20,22,1.6,1950,-2.3,2.29,0,0,Autumn,No Holiday
64,3,12,2017,621,15,8,73,1.6,433,3.4,0.53,0,0,Winter,No Holiday
5113,2,7,2018,26,0,21.4,97,0.6,680,20.8,0,2.5,0,Summer,No Holiday
8527,21,11,2018,299,6,6.7,86,0.3,593,4.5,0,0,0,Autumn,No Holiday
1005,11,1,2018,177,20,-11.6,49,1.8,1953,-20.1,0,0,0,Winter,No Holiday
3533,27,4,2018,140,4,10.2,65,1.5,970,3.9,0,0,0,Spring,No Holiday
4607,10,6,2018,1634,22,21.5,55,1.8,2000,12,0,0,0,Summer,No Holiday
372,16,12,2017,239,11,-5.2,30,4,1991,-20.1,0.86,0,0,Winter,No Holiday
8203,7,11,2018,1347,18,14.4,77,1,912,10.4,0,0,0,Autumn,No Holiday
4707,15,6,2018,403,2,20.1,67,1.1,2000,13.7,0,0.1,0,Summer,No Holiday
4007,16,5,2018,399,22,21.9,97,1.5,164,21.3,0,0,0,Spring,No Holiday
7926,27,10,2018,146,5,8,65,1.6,2000,1.8,0,0,0,Autumn,No Holiday
7531,10,10,2018,2514,18,12.2,45,3.1,2000,0.5,0.16,0,0,Autumn,No Holiday
1383,27,1,2018,193,14,-4.1,25,2,1730,-21.2,1.2,0,0.2,Winter,No Holiday
8297,11,11,2018,616,16,9.9,59,1.3,578,2.2,0.1,0,0,Autumn,No Holiday
4614,11,6,2018,324,5,18.8,61,1.2,2000,11.1,0,0,0,Summer,No Holiday
4753,17,6,2018,1394,0,21.5,76,1.4,1015,17,0,0,0,Summer,No Holiday
2531,16,3,2018,507,10,6.7,46,2.2,1936,-4.1,1.79,0,0,Spring,No Holiday
4011,17,5,2018,78,2,21.8,97,1.3,175,21.2,0,1,0,Spring,No Holiday
683,29,12,2017,252,10,1.9,65,0.3,562,-3.9,0.17,0,0,Winter,No Holiday
8408,16,11,2018,939,7,6.6,64,0.5,701,0.2,0,0,0,Autumn,No Holiday
3974,15,5,2018,1080,13,27.8,34,1.5,1306,10.4,3.14,0,0,Spring,No Holiday
1389,27,1,2018,117,20,-7.6,36,1.7,1858,-20.1,0,0,0,Winter,No Holiday
8206,7,11,2018,1062,21,13.5,75,0.8,1275,9.1,0,0,0,Autumn,No Holiday
1847,15,2,2018,145,22,-1.9,30,0.8,2000,-17.2,0,0,0,Winter,Holiday
5256,7,7,2018,1416,23,21.7,51,1.7,2000,11.1,0,0,0,Summer,No Holiday
6600,1,9,2018,1523,23,24.4,54,1.6,2000,14.4,0,0,0,Autumn,No Holiday
302,13,12,2017,251,13,-5.8,28,2.9,1887,-21.4,1.23,0,0,Winter,No Holiday
1759,12,2,2018,109,6,-9.5,36,1.5,2000,-21.8,0,0,0,Winter,No Holiday
3013,5,4,2018,70,12,7.3,95,2.2,676,6.5,0.3,0.5,0,Spring,No Holiday
6213,16,8,2018,2114,20,27.9,47,1.9,2000,15.5,0.01,0,0,Summer,No Holiday
7840,23,10,2018,1010,15,16.6,68,1.5,955,10.6,1.55,0,0,Autumn,No Holiday
7769,20,10,2018,1813,16,20.9,20,2,1976,-2.9,1.35,0,0,Autumn,No Holiday
7435,6,10,2018,2012,18,20.5,66,1.2,2000,13.9,0.16,0,0,Autumn,No Holiday
7789,21,10,2018,1417,12,18.4,28,1.9,1690,-0.4,2.33,0,0,Autumn,No Holiday
4187,24,5,2018,880,10,19.9,27,2.7,1775,0.3,2.44,0,0,Spring,No Holiday
478,20,12,2017,197,21,-2,83,1.2,904,-4.5,0,0.1,2.4,Winter,No Holiday
5254,7,7,2018,2235,21,23.4,52,1.4,2000,12.9,0,0,0,Summer,No Holiday
567,24,12,2017,28,14,3.3,90,2.5,561,1.8,0.19,0,0,Winter,Holiday
963,10,1,2018,63,2,-5.7,72,1.2,1925,-9.9,0,0,0.8,Winter,No Holiday
8526,21,11,2018,118,5,6.8,86,0.5,692,4.6,0,0,0,Autumn,No Holiday
8718,29,11,2018,126,5,1.8,34,0.9,1990,-12.4,0,0,0,Autumn,No Holiday
2544,16,3,2018,455,23,4.2,47,1.3,2000,-6.1,0,0,0,Spring,No Holiday
7547,11,10,2018,792,10,10.2,44,2.3,1986,-1.5,1.8,0,0,Autumn,No Holiday
2464,13,3,2018,815,15,18.6,47,3.3,1560,7,2.08,0,0,Spring,No Holiday
707,30,12,2017,208,10,0.8,73,0.5,248,-3.4,0.15,0,0,Winter,No Holiday
6493,28,8,2018,25,12,25.2,89,1.4,340,23.2,0.32,2,0,Summer,No Holiday
2691,23,3,2018,216,2,2.2,80,1.4,615,-0.8,0,0,0,Spring,No Holiday
4086,20,5,2018,160,5,12.1,47,1.6,2000,1.1,0,0,0,Spring,No Holiday
5017,28,6,2018,561,0,22.2,84,1.1,482,19.3,0,0,0,Summer,No Holiday
6467,27,8,2018,104,10,21.7,97,1,1249,21.1,0.29,2.5,0,Summer,No Holiday
450,19,12,2017,256,17,-2.7,35,1.8,2000,-16,0.18,0,2,Winter,No Holiday
3000,4,4,2018,668,23,10.2,58,2.4,2000,2.2,0,0,0,Spring,No Holiday
2731,24,3,2018,736,18,9,76,3,288,4.9,0.45,0,0,Spring,No Holiday
6854,12,9,2018,1066,13,26.8,45,1.8,1984,13.8,2.6,0,0,Autumn,No Holiday
518,22,12,2017,320,13,5.4,55,1.2,820,-2.9,0.66,0,0,Winter,Holiday
3130,10,4,2018,982,9,11.9,35,1.1,1664,-3.1,0.95,0,0,Spring,No Holiday
2533,16,3,2018,705,12,9.4,40,2.6,1913,-3.5,2.78,0,0,Spring,No Holiday
507,22,12,2017,161,2,-1.1,79,0.7,736,-4.2,0,0,0.8,Winter,Holiday
6355,22,8,2018,2528,18,35.4,40,1,2000,19.7,0.34,0,0,Summer,No Holiday
146,7,12,2017,218,1,1.5,92,0.4,227,0.3,0,0,0.9,Winter,No Holiday
1400,28,1,2018,42,7,-8,39,1.9,2000,-19.5,0,0,0,Winter,No Holiday
8458,18,11,2018,457,9,3.5,53,1,1338,-5.2,0.22,0,0,Autumn,No Holiday
5274,8,7,2018,2266,17,27.4,44,1.7,2000,14,1.17,0,0,Summer,No Holiday
2931,2,4,2018,155,2,15.7,81,1.4,694,12.4,0,0,0,Spring,No Holiday
6210,16,8,2018,1384,17,33.8,37,2.2,2000,17,1.74,0,0,Summer,No Holiday
7772,20,10,2018,1407,19,14.6,48,1.9,1998,3.6,0,0,0,Autumn,No Holiday
5678,25,7,2018,783,13,32.3,56,3,1504,22.3,1.74,0,0,Summer,No Holiday
1385,27,1,2018,195,16,-3.7,25,2.6,1839,-20.9,0.74,0,0,Winter,No Holiday
1849,16,2,2018,105,0,-3.3,35,1.8,1977,-16.6,0,0,0,Winter,Holiday
3789,7,5,2018,1912,20,20.9,61,2.7,1523,13,0.01,0,0,Spring,No Holiday
5689,26,7,2018,939,0,27.7,78,1.2,1341,23.5,0,0,0,Summer,No Holiday
2705,23,3,2018,901,16,12.2,24,2.8,1655,-7.8,1.98,0,0,Spring,No Holiday
2795,27,3,2018,462,10,13.9,40,0.8,586,0.5,1.6,0,0,Spring,No Holiday
5643,24,7,2018,487,2,28.6,66,0.9,2000,21.6,0,0,0,Summer,No Holiday
690,29,12,2017,534,17,4.5,59,1.6,384,-2.8,0.14,0,0,Winter,No Holiday
2131,27,2,2018,897,18,6.6,62,0.8,522,-0.1,0.05,0,0,Winter,No Holiday
7160,25,9,2018,262,7,10.8,72,0.9,2000,5.9,0.03,0,0,Autumn,Holiday
8452,18,11,2018,258,3,2.5,49,0.2,2000,-7.1,0,0,0,Autumn,No Holiday
2052,24,2,2018,298,11,2.2,50,2.4,608,-7.1,1.1,0,0,Winter,No Holiday
6267,19,8,2018,611,2,24.5,59,0.3,2000,15.9,0,0,0,Summer,No Holiday
3948,14,5,2018,946,11,18.5,65,1.4,463,11.7,2.07,0,0,Spring,No Holiday
7411,5,10,2018,74,18,16.7,96,1.6,1461,16,0.03,1,0,Autumn,No Holiday
865,6,1,2018,184,0,-4.3,52,1.6,1247,-12.7,0,0,0,Winter,No Holiday
8633,25,11,2018,872,16,9.5,56,1.1,678,1.1,0.54,0,0.8,Autumn,No Holiday
8674,27,11,2018,800,9,5,75,0.3,390,0.9,0.12,0,0,Autumn,No Holiday
405,17,12,2017,166,20,-6,42,0.8,2000,-16.8,0,0,0,Winter,No Holiday
2312,7,3,2018,598,7,2.2,65,1.9,2000,-3.7,0,0,0,Spring,No Holiday
4736,16,6,2018,583,7,17,60,1.1,1993,9.1,0.47,0,0,Summer,No Holiday
5635,23,7,2018,2405,18,33.9,53,3.2,1886,22.9,0.94,0,0,Summer,No Holiday
2119,27,2,2018,183,6,0.6,50,0.4,985,-8.6,0,0,0,Winter,No Holiday
4502,6,6,2018,1444,13,27.3,52,3.1,613,16.5,3.21,0,0,Summer,Holiday
7122,23,9,2018,1591,17,24.1,41,2.4,2000,10,1.17,0,0,Autumn,Holiday
8483,19,11,2018,651,10,7.5,53,0.8,909,-1.4,1,0,0,Autumn,No Holiday
8269,10,11,2018,1034,12,15.1,54,2.2,495,5.8,1.91,0,0,Autumn,No Holiday
2543,16,3,2018,660,22,4.9,46,0.8,2000,-5.7,0,0,0,Spring,No Holiday
3416,22,4,2018,278,7,15,41,0.3,2000,1.8,0.12,0,0,Spring,No Holiday
5430,15,7,2018,223,5,24.5,85,0.7,1345,21.8,0,0,0,Summer,No Holiday
2792,27,3,2018,705,7,8.5,67,0.7,475,2.7,0.02,0,0,Spring,No Holiday
6051,10,8,2018,484,2,26.9,84,0.8,1007,23.9,0,0,0,Summer,No Holiday
786,2,1,2018,373,17,0.3,27,2.6,2000,-16.5,0.18,0,0,Winter,No Holiday
6583,1,9,2018,362,6,20.9,87,0.7,1198,18.6,0,0,0,Autumn,No Holiday
1943,19,2,2018,357,22,1,69,0.7,525,-4,0,0,0,Winter,No Holiday
550,23,12,2017,279,21,5.6,77,0.9,212,1.8,0,0,0,Winter,No Holiday
8520,20,11,2018,378,23,9.3,43,3.5,1807,-2.6,0,0,0,Autumn,No Holiday
1938,19,2,2018,522,17,5.7,36,3,1073,-8.2,0.57,0,0,Winter,No Holiday
136,6,12,2017,412,15,5.5,31,3.1,1968,-10.3,0.72,0,0,Winter,No Holiday
782,2,1,2018,273,13,1.5,23,3.6,1970,-17.4,0.95,0,0,Winter,No Holiday
4140,22,5,2018,1438,11,21.9,55,1.4,1820,12.4,1.87,0,0,Spring,Holiday
5476,17,7,2018,372,3,24.8,80,1,1988,21.1,0,0,0,Summer,No Holiday
1194,19,1,2018,468,17,4.1,34,3.1,1810,-10.3,0.28,0,0,Winter,No Holiday
5937,5,8,2018,309,8,27.5,95,0.7,404,26.6,0.14,1.6,0,Summer,No Holiday
8536,21,11,2018,550,15,5.7,53,2,2000,-3.1,0.22,0,0,Autumn,No Holiday
561,24,12,2017,4,8,4.6,91,1.7,95,3.2,0,0,0,Winter,Holiday
1179,19,1,2018,140,2,-0.3,44,1.7,1295,-11.1,0,0,0,Winter,No Holiday